날짜,종가,오픈,고가,저가,변동 %
2019년 12월 30일,1.5331,1.5511,1.5797,1.5348,-0.92%
2019년 12월 27일,1.5473,1.558,1.5625,1.547,-0.51%
2019년 12월 26일,1.5552,1.5446,1.5606,1.5431,0.79%
2019년 12월 25일,1.543,1.5529,1.5536,1.5445,-0.50%
2019년 12월 24일,1.5507,1.5461,1.5549,1.5413,0.47%
2019년 12월 23일,1.5435,1.5316,1.5494,1.5311,0.90%
2019년 12월 20일,1.5297,1.5425,1.5539,1.5309,-0.66%
2019년 12월 19일,1.5399,1.552,1.5551,1.5412,-0.67%
2019년 12월 18일,1.5503,1.5396,1.5554,1.5374,0.82%
2019년 12월 17일,1.5377,1.5345,1.5438,1.528,0.37%
2019년 12월 16일,1.5321,1.5387,1.5405,1.527,-0.27%
2019년 12월 13일,1.5363,1.5265,1.5485,1.5205,0.76%
2019년 12월 12일,1.5247,1.5437,1.553,1.5227,-0.98%
2019년 12월 11일,1.5398,1.526,1.5543,1.5246,1.07%
2019년 12월 10일,1.5235,1.5389,1.544,1.5255,-0.94%
2019년 12월 09일,1.5379,1.5269,1.5527,1.5267,0.87%
2019년 12월 06일,1.5247,1.5203,1.5347,1.5155,0.53%
2019년 12월 05일,1.5166,1.5123,1.5256,1.5079,0.40%
2019년 12월 04일,1.5106,1.4818,1.5139,1.48,2.16%
2019년 12월 03일,1.4787,1.4754,1.4926,1.4729,0.35%
2019년 12월 02일,1.4736,1.4681,1.487,1.4633,0.64%
2019년 11월 29일,1.4642,1.4221,1.4812,1.4206,3.16%
2019년 11월 28일,1.4193,1.4389,1.4438,1.4056,-1.13%
2019년 11월 27일,1.4355,1.4703,1.4786,1.4343,-2.21%
2019년 11월 26일,1.4679,1.4822,1.4917,1.4649,-0.79%
2019년 11월 25일,1.4796,1.4762,1.4941,1.4677,0.48%
2019년 11월 22일,1.4725,1.4788,1.4875,1.4693,-0.31%
2019년 11월 21일,1.4771,1.48,1.4911,1.4691,0.01%
2019년 11월 20일,1.4769,1.4836,1.4879,1.4582,-0.24%
2019년 11월 19일,1.4805,1.5032,1.511,1.4796,-1.30%
2019년 11월 18일,1.5,1.5049,1.5503,1.4959,-0.02%
2019년 11월 15일,1.5003,1.4551,1.5033,1.4491,3.36%
2019년 11월 14일,1.4515,1.4743,1.4832,1.4495,-1.39%
2019년 11월 13일,1.472,1.4949,1.5003,1.4631,-1.39%
2019년 11월 12일,1.4927,1.5354,1.5363,1.4531,-2.63%
2019년 11월 11일,1.533,1.5492,1.5605,1.5333,-0.94%
2019년 11월 08일,1.5475,1.557,1.5612,1.547,-0.44%
2019년 11월 07일,1.5543,1.5692,1.5717,1.5512,-0.75%
2019년 11월 06일,1.566,1.5466,1.5705,1.5446,1.41%
2019년 11월 05일,1.5443,1.5684,1.5689,1.5433,-1.44%
2019년 11월 04일,1.5668,1.5725,1.5845,1.5632,-0.33%
2019년 11월 01일,1.572,1.5781,1.5797,1.554,-0.17%
2019년 10월 31일,1.5746,1.5761,1.5831,1.5677,0.12%
2019년 10월 30일,1.5727,1.6053,1.6071,1.5743,-1.99%
2019년 10월 29일,1.6047,1.615,1.6171,1.6001,-0.50%
2019년 10월 28일,1.6127,1.6114,1.6207,1.6051,0.16%
2019년 10월 25일,1.6102,1.6216,1.625,1.6078,-0.56%
2019년 10월 24일,1.6193,1.6114,1.6279,1.6068,0.72%
2019년 10월 23일,1.6078,1.6192,1.6244,1.6076,-0.52%
2019년 10월 22일,1.6162,1.6135,1.6242,1.6091,0.32%
2019년 10월 21일,1.6111,1.6593,1.6618,1.6101,-2.73%
2019년 10월 18일,1.6563,1.6561,1.6665,1.6546,0.13%
2019년 10월 17일,1.6542,1.6552,1.6581,1.6395,0.10%
2019년 10월 16일,1.6526,1.6553,1.6655,1.6482,-0.04%
2019년 10월 15일,1.6532,1.6607,1.6666,1.6529,-0.23%
2019년 10월 14일,1.657,1.6658,1.6714,1.6583,-0.31%
2019년 10월 11일,1.6621,1.6557,1.6665,1.6442,0.54%
2019년 10월 10일,1.6531,1.656,1.6605,1.6445,-0.02%
2019년 10월 09일,1.6535,1.654,1.6584,1.6484,0.08%
2019년 10월 08일,1.6521,1.6657,1.6688,1.6509,-0.69%
2019년 10월 07일,1.6635,1.6675,1.6764,1.6617,-0.06%
2019년 10월 04일,1.6645,1.6772,1.679,1.6647,-0.61%
2019년 10월 03일,1.6747,1.6637,1.6788,1.658,0.79%
2019년 10월 02일,1.6616,1.6503,1.6655,1.6469,0.81%
2019년 10월 01일,1.6482,1.6454,1.6535,1.6413,0.32%
2019년 09월 30일,1.643,1.6563,1.6575,1.6437,-0.66%
2019년 09월 27일,1.6539,1.6521,1.6573,1.6467,0.30%
2019년 09월 26일,1.6489,1.6501,1.6597,1.6469,0.02%
2019년 09월 25일,1.6485,1.653,1.66,1.6458,-0.16%
2019년 09월 24일,1.6512,1.6563,1.6608,1.6509,-0.13%
2019년 09월 23일,1.6533,1.6643,1.6729,1.6514,-0.55%
2019년 09월 20일,1.6625,1.6693,1.67,1.6533,-0.30%
2019년 09월 19일,1.6675,1.6646,1.6724,1.6613,0.38%
2019년 09월 18일,1.6612,1.6609,1.6695,1.6595,0.13%
2019년 09월 17일,1.6591,1.6698,1.6786,1.6543,-0.51%
2019년 09월 16일,1.6676,1.6674,1.6762,1.6614,0.17%
2019년 09월 13일,1.6648,1.668,1.6715,1.6579,-0.04%
2019년 09월 12일,1.6655,1.6628,1.6689,1.6493,0.31%
2019년 09월 11일,1.6604,1.6731,1.6796,1.6599,-0.68%
2019년 09월 10일,1.6717,1.6686,1.6762,1.6631,0.35%
2019년 09월 09일,1.6659,1.6759,1.6822,1.6618,-0.43%
2019년 09월 06일,1.6731,1.6737,1.6825,1.6628,0.07%
2019년 09월 05일,1.672,1.6654,1.6816,1.6538,0.44%
2019년 09월 04일,1.6647,1.6705,1.6715,1.659,-0.22%
2019년 09월 03일,1.6683,1.6747,1.6789,1.6674,-0.22%
2019년 09월 02일,1.6719,1.6774,1.6837,1.6706,-0.24%
2019년 08월 30일,1.6759,1.6772,1.683,1.6726,0.10%
2019년 08월 29일,1.6742,1.6769,1.6851,1.6722,-0.02%
2019년 08월 28일,1.6745,1.6772,1.6822,1.6703,-0.01%
2019년 08월 27일,1.6746,1.6851,1.69,1.6742,-0.48%
2019년 08월 26일,1.6827,1.6863,1.6961,1.6839,-0.06%
2019년 08월 23일,1.6837,1.6927,1.6995,1.6844,-0.41%
2019년 08월 22일,1.6906,1.6895,1.7038,1.6888,0.22%
2019년 08월 21일,1.6869,1.7007,1.7059,1.6865,-0.67%
2019년 08월 20일,1.6983,1.6994,1.705,1.6883,0.07%
2019년 08월 19일,1.6971,1.7066,1.7125,1.6961,-0.42%
2019년 08월 16일,1.7042,1.7072,1.7098,1.6964,-0.08%
2019년 08월 15일,1.7055,1.711,1.7147,1.7042,-0.11%
2019년 08월 14일,1.7074,1.7145,1.7277,1.706,-0.26%
2019년 08월 13일,1.7118,1.7078,1.7194,1.7038,0.37%
2019년 08월 12일,1.7055,1.7101,1.7186,1.6918,-0.12%
2019년 08월 09일,1.7076,1.7017,1.7115,1.7,0.48%
2019년 08월 08일,1.6994,1.6979,1.7038,1.6902,0.16%
2019년 08월 07일,1.6967,1.698,1.7029,1.6896,0.06%
2019년 08월 06일,1.6956,1.6897,1.6994,1.6766,0.50%
2019년 08월 05일,1.6871,1.6894,1.7089,1.681,-0.04%
2019년 08월 02일,1.6877,1.6928,1.7015,1.6855,-0.15%
2019년 08월 01일,1.6903,1.6889,1.6953,1.6805,0.19%
2019년 07월 31일,1.6871,1.6894,1.6966,1.6835,-0.05%
2019년 07월 30일,1.6879,1.7005,1.7013,1.6837,-0.56%
2019년 07월 29일,1.6974,1.7033,1.7057,1.6946,-0.22%
2019년 07월 26일,1.7011,1.7002,1.7048,1.6909,0.22%
2019년 07월 25일,1.6974,1.7059,1.7146,1.695,-0.36%
2019년 07월 24일,1.7035,1.7063,1.7085,1.6979,-0.02%
2019년 07월 23일,1.7038,1.7077,1.7123,1.7005,-0.09%
2019년 07월 22일,1.7053,1.7086,1.7135,1.7048,-0.06%
2019년 07월 19일,1.7063,1.7184,1.7257,1.7052,-0.57%
2019년 07월 18일,1.716,1.7301,1.736,1.7177,-0.68%
2019년 07월 17일,1.7277,1.7299,1.7371,1.7268,0.00%
2019년 07월 16일,1.7277,1.7376,1.7407,1.7282,-0.40%
2019년 07월 15일,1.7346,1.732,1.7423,1.7313,0.29%
2019년 07월 12일,1.7295,1.7264,1.7369,1.7243,0.37%
2019년 07월 11일,1.7232,1.715,1.7279,1.7054,0.65%
2019년 07월 10일,1.712,1.719,1.7228,1.7119,-0.26%
2019년 07월 09일,1.7165,1.717,1.7226,1.7089,0.10%
2019년 07월 08일,1.7148,1.7178,1.7318,1.7148,-0.08%
2019년 07월 05일,1.7161,1.7207,1.7273,1.715,-0.16%
2019년 07월 04일,1.7189,1.7263,1.7294,1.7186,-0.30%
2019년 07월 03일,1.724,1.716,1.7288,1.7134,0.64%
2019년 07월 02일,1.7131,1.7075,1.7186,1.7053,0.48%
2019년 07월 01일,1.7049,1.7069,1.7255,1.6955,0.02%
2019년 06월 28일,1.7045,1.702,1.7097,1.6972,0.24%
2019년 06월 27일,1.7005,1.6997,1.7062,1.6959,0.20%
2019년 06월 26일,1.6971,1.6957,1.7035,1.6895,0.23%
2019년 06월 25일,1.6932,1.6967,1.7072,1.6939,-0.05%
2019년 06월 24일,1.6941,1.6957,1.7016,1.689,0.05%
2019년 06월 21일,1.6933,1.6954,1.7055,1.6899,0.01%
2019년 06월 20일,1.6931,1.6971,1.7012,1.6759,-0.09%
2019년 06월 19일,1.6947,1.6882,1.7024,1.6863,0.53%
2019년 06월 18일,1.6858,1.6952,1.6992,1.6833,-0.41%
2019년 06월 17일,1.6928,1.6969,1.6999,1.6911,-0.17%
2019년 06월 14일,1.6956,1.6999,1.704,1.6925,-0.15%
2019년 06월 13일,1.6981,1.7018,1.7076,1.6959,-0.15%
2019년 06월 12일,1.7007,1.702,1.7084,1.6989,0.12%
2019년 06월 11일,1.6987,1.6921,1.7049,1.6839,0.54%
2019년 06월 10일,1.6895,1.7059,1.7149,1.6906,-0.83%
2019년 06월 07일,1.7036,1.7018,1.7139,1.6997,0.23%
2019년 06월 06일,1.6997,1.7038,1.7124,1.6954,-0.11%
2019년 06월 05일,1.7016,1.6997,1.7081,1.6933,0.21%
2019년 06월 04일,1.698,1.6768,1.703,1.6745,1.37%
2019년 06월 03일,1.675,1.675,1.6849,1.6606,0.14%
2019년 05월 31일,1.6727,1.6759,1.6866,1.6643,-0.06%
2019년 05월 30일,1.6737,1.6944,1.6955,1.6739,-1.09%
2019년 05월 29일,1.6922,1.6805,1.6954,1.6781,0.83%
2019년 05월 28일,1.6783,1.6955,1.7047,1.6763,-0.91%
2019년 05월 27일,1.6937,1.7092,1.7114,1.6945,-0.75%
2019년 05월 24일,1.7065,1.7083,1.7121,1.7021,0.02%
2019년 05월 23일,1.7061,1.7071,1.7127,1.7012,0.01%
2019년 05월 22일,1.7059,1.7168,1.723,1.7035,-0.53%
2019년 05월 21일,1.715,1.7162,1.7194,1.7109,0.01%
2019년 05월 20일,1.7148,1.7137,1.7183,1.7048,0.20%
2019년 05월 17일,1.7114,1.717,1.7229,1.7083,-0.14%
2019년 05월 16일,1.7138,1.7155,1.7262,1.7143,0.03%
2019년 05월 15일,1.7133,1.7163,1.723,1.7119,-0.05%
2019년 05월 14일,1.7141,1.7146,1.7187,1.7083,0.11%
2019년 05월 13일,1.7123,1.7131,1.7329,1.7105,0.07%
2019년 05월 10일,1.7111,1.7234,1.7283,1.7105,-0.58%
2019년 05월 09일,1.7211,1.7141,1.7308,1.7108,0.50%
2019년 05월 08일,1.7126,1.7124,1.7162,1.7054,0.07%
2019년 05월 07일,1.7114,1.7225,1.7302,1.7114,-0.51%
2019년 05월 06일,1.7202,1.7198,1.7346,1.714,0.13%
2019년 05월 03일,1.718,1.7118,1.7234,1.7115,0.49%
2019년 05월 02일,1.7097,1.7184,1.72,1.7004,-0.32%
2019년 05월 01일,1.7152,1.7178,1.7197,1.7099,-0.01%
2019년 04월 30일,1.7154,1.7102,1.7249,1.707,0.44%
2019년 04월 29일,1.7079,1.7164,1.7228,1.7051,-0.36%
2019년 04월 26일,1.7141,1.7191,1.7244,1.7136,-0.15%
2019년 04월 25일,1.7167,1.718,1.7329,1.7107,0.06%
2019년 04월 24일,1.7157,1.7115,1.727,1.7104,0.40%
2019년 04월 23일,1.7089,1.7173,1.7212,1.7075,-0.34%
2019년 04월 22일,1.7148,1.7164,1.7263,1.7147,0.05%
2019년 04월 19일,1.7139,1.7171,1.7201,1.7145,-0.09%
2019년 04월 18일,1.7154,1.7103,1.7214,1.7093,0.45%
2019년 04월 17일,1.7077,1.719,1.7201,1.7093,-0.52%
2019년 04월 16일,1.7166,1.7174,1.721,1.7078,0.08%
2019년 04월 15일,1.7152,1.7164,1.7189,1.7076,0.08%
2019년 04월 12일,1.7139,1.7201,1.7221,1.7062,-0.22%
2019년 04월 11일,1.7176,1.7181,1.7241,1.7145,0.12%
2019년 04월 10일,1.7156,1.7166,1.7217,1.7114,0.09%
2019년 04월 09일,1.7141,1.7201,1.7247,1.7148,-0.28%
2019년 04월 08일,1.7189,1.71,1.73,1.7076,0.67%
2019년 04월 05일,1.7075,1.7086,1.7164,1.7064,0.05%
2019년 04월 04일,1.7067,1.6997,1.7119,1.6974,0.41%
2019년 04월 03일,1.6998,1.6899,1.7075,1.6831,0.64%
2019년 04월 02일,1.689,1.6944,1.7049,1.687,-0.36%
2019년 04월 01일,1.6951,1.6709,1.6967,1.6626,1.42%
2019년 03월 29일,1.6714,1.6666,1.6808,1.6654,0.31%
2019년 03월 28일,1.6663,1.6716,1.6781,1.6631,-0.32%
2019년 03월 27일,1.6717,1.6687,1.6724,1.6566,0.17%
2019년 03월 26일,1.6688,1.667,1.676,1.6641,0.13%
2019년 03월 25일,1.6667,1.6727,1.6745,1.6637,-0.41%
2019년 03월 22일,1.6735,1.6916,1.7019,1.6707,-1.02%
2019년 03월 21일,1.6908,1.6997,1.7102,1.6863,-0.53%
2019년 03월 20일,1.6998,1.6945,1.7024,1.6909,0.31%
2019년 03월 19일,1.6946,1.7006,1.7051,1.6927,-0.35%
2019년 03월 18일,1.7006,1.6943,1.7027,1.6891,0.32%
2019년 03월 15일,1.6951,1.6918,1.701,1.6859,0.20%
2019년 03월 14일,1.6918,1.69,1.6992,1.687,0.08%
2019년 03월 13일,1.6905,1.6963,1.7067,1.6868,-0.31%
2019년 03월 12일,1.6957,1.6871,1.6977,1.6806,0.49%
2019년 03월 11일,1.6874,1.689,1.7005,1.6864,-0.09%
2019년 03월 08일,1.689,1.6994,1.7042,1.6845,-0.64%
2019년 03월 07일,1.6999,1.7101,1.7154,1.6964,-0.53%
2019년 03월 06일,1.7089,1.7115,1.7226,1.706,-0.15%
2019년 03월 05일,1.7115,1.7062,1.7185,1.7037,0.30%
2019년 03월 04일,1.7063,1.7091,1.7145,1.7001,-0.17%
2019년 03월 01일,1.7092,1.7164,1.7224,1.7067,-0.44%
2019년 02월 28일,1.7167,1.7228,1.7345,1.7106,-0.33%
2019년 02월 27일,1.7223,1.7208,1.7287,1.7168,0.07%
2019년 02월 26일,1.7211,1.7159,1.725,1.7148,0.33%
2019년 02월 25일,1.7155,1.7248,1.7271,1.7147,-0.52%
2019년 02월 22일,1.7244,1.7196,1.7318,1.7173,0.29%
2019년 02월 21일,1.7194,1.7195,1.7269,1.7174,-0.01%
2019년 02월 20일,1.7195,1.7126,1.7209,1.7057,0.40%
2019년 02월 19일,1.7127,1.7044,1.7192,1.7019,0.49%
2019년 02월 18일,1.7044,1.7026,1.7085,1.6966,0.16%
2019년 02월 15일,1.7017,1.6952,1.704,1.6926,0.38%
2019년 02월 14일,1.6952,1.6963,1.7003,1.6894,-0.06%
2019년 02월 13일,1.6962,1.698,1.7034,1.6913,-0.11%
2019년 02월 12일,1.6981,1.7011,1.7062,1.6949,-0.18%
2019년 02월 11일,1.7011,1.7081,1.7119,1.6975,-0.45%
2019년 02월 08일,1.7088,1.7082,1.7165,1.7037,0.05%
2019년 02월 07일,1.708,1.7126,1.724,1.7069,-0.30%
2019년 02월 06일,1.7131,1.7156,1.7218,1.7084,-0.11%
2019년 02월 05일,1.715,1.7159,1.7223,1.7083,-0.06%
2019년 02월 04일,1.7161,1.7107,1.7228,1.7072,0.26%
2019년 02월 01일,1.7116,1.6966,1.7193,1.6954,0.90%
2019년 01월 31일,1.6963,1.6739,1.7052,1.6716,1.36%
2019년 01월 30일,1.6736,1.675,1.6826,1.6691,-0.08%
2019년 01월 29일,1.675,1.668,1.6776,1.6641,0.43%
2019년 01월 28일,1.6679,1.671,1.6767,1.6617,-0.19%
2019년 01월 25일,1.671,1.6793,1.6838,1.6648,-0.49%
2019년 01월 24일,1.6793,1.6757,1.6873,1.6747,0.21%
2019년 01월 23일,1.6757,1.6798,1.6827,1.6722,-0.24%
2019년 01월 22일,1.6798,1.687,1.6876,1.676,-0.46%
2019년 01월 21일,1.6876,1.6783,1.6882,1.675,0.58%
2019년 01월 18일,1.6778,1.6743,1.6824,1.6698,0.21%
2019년 01월 17일,1.6743,1.6754,1.6829,1.6686,-0.07%
2019년 01월 16일,1.6754,1.6616,1.6767,1.6561,0.79%
2019년 01월 15일,1.6623,1.665,1.6717,1.6602,-0.17%
2019년 01월 14일,1.6651,1.6575,1.6704,1.6543,0.49%
2019년 01월 11일,1.657,1.6539,1.6616,1.6473,0.19%
2019년 01월 10일,1.6539,1.6541,1.6614,1.6447,-0.01%
2019년 01월 09일,1.6541,1.6505,1.656,1.6428,0.24%
2019년 01월 08일,1.6502,1.6404,1.6609,1.6389,0.59%
2019년 01월 07일,1.6405,1.6393,1.6546,1.6365,0.06%
2019년 01월 04일,1.6395,1.6229,1.6413,1.6174,1.03%
2019년 01월 03일,1.6228,1.6077,1.6244,1.6063,0.94%
2019년 01월 02일,1.6077,1.6017,1.6152,1.6014,0.26%
2019년 01월 01일,1.6035,1.6056,1.6066,1.6033,-0.13%
2018년 12월 31일,1.6056,1.6106,1.611,1.6011,-0.25%
2018년 12월 28일,1.6096,1.6073,1.6145,1.5993,0.20%
2018년 12월 27일,1.6064,1.6214,1.6214,1.6055,-0.84%
2018년 12월 26일,1.62,1.6279,1.6336,1.6136,-0.66%
2018년 12월 25일,1.6308,1.6304,1.6328,1.6276,0.05%
2018년 12월 24일,1.63,1.6287,1.6325,1.6189,0.12%
2018년 12월 21일,1.628,1.6242,1.6308,1.6179,0.23%
2018년 12월 20일,1.6242,1.6355,1.6393,1.6218,-0.69%
2018년 12월 19일,1.6355,1.6343,1.6394,1.6265,0.09%
2018년 12월 18일,1.6341,1.6412,1.6461,1.6314,-0.43%
2018년 12월 17일,1.6412,1.6558,1.659,1.6396,-0.93%
2018년 12월 14일,1.6566,1.6498,1.6632,1.6473,0.41%
2018년 12월 13일,1.6498,1.6585,1.6639,1.6445,-0.53%
2018년 12월 12일,1.6586,1.6522,1.6669,1.6483,0.39%
2018년 12월 11일,1.6522,1.6636,1.6717,1.6491,-0.67%
2018년 12월 10일,1.6634,1.6671,1.6747,1.6592,-0.22%
2018년 12월 07일,1.6671,1.656,1.6725,1.6528,0.67%
2018년 12월 06일,1.656,1.6563,1.6701,1.65,-0.02%
2018년 12월 05일,1.6563,1.6574,1.6656,1.6514,-0.07%
2018년 12월 04일,1.6574,1.6581,1.6652,1.6497,-0.04%
2018년 12월 03일,1.658,1.6682,1.6771,1.6507,-0.62%
2018년 11월 30일,1.6683,1.6667,1.6764,1.6614,0.10%
2018년 11월 29일,1.6667,1.6644,1.6792,1.6583,0.12%
2018년 11월 28일,1.6647,1.6741,1.6844,1.6618,-0.54%
2018년 11월 27일,1.6738,1.6693,1.6763,1.665,0.27%
2018년 11월 26일,1.6693,1.6791,1.6806,1.6627,-0.64%
